"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTGS1",6.84249704349015e-20,-8.28035492204883,0,0.391,1.62700894700109e-15
"ALOX5AP",1.41580609572426e-19,-7.27794885704544,0.006,0.395,3.36650373441313e-15
"ACSL4",3.37292805539589e-19,-2.50903756699925,0.289,0.679,8.02014833012034e-15
"AKR1C3",1.91760351830017e-17,2.92043650867951,0.44,0.103,4.55967764581415e-13
"LIPG",9.98366620026934e-17,-8.20565297135611,0,0.336,2.37391614910004e-12
"ALOX5",8.52916583752969e-15,-5.56006767539518,0.012,0.321,2.02806505284781e-10
"HPGDS",7.10750105924976e-08,-7.38116810414099,0,0.159,0.00169002160186841
"HPGD",1.91254671059361e-07,0.561485919318535,0.416,0.199,0.00454765356844947
"ACOT13",8.40782190126337e-07,1.52444384517534,0.452,0.24,0.019992118916824
"CYP2J2",4.7997620090635e-06,2.19655063365332,0.193,0.055,0.114128741051512
"CYP2B6",0.000121919290377048,2.80154723911852,0.114,0.026,1
"ELOVL5",0.000125182008688717,-1.50121833488001,0.169,0.328,1
"PTGFR",0.00136709338625915,4.64289877887403,0.066,0.011,1
"PLA2G4A",0.0021281999368746,-2.11305906129304,0.036,0.122,1
"ABCC4",0.00282057989961392,1.95448866228414,0.12,0.044,1
"PTGR1",0.00320847053800584,0.801592498202855,0.277,0.162,1
"GPX3",0.00360095011935638,-1.82411394064694,0.042,0.125,1
"OXGR1",0.00413006603411787,4.28405495538305,0.03,0,1
"LIPA",0.004170394297561,1.02501787824105,0.235,0.129,1
"ACOT11",0.0091956101185286,-1.14702919413204,0.102,0.188,1
"ACAT1",0.0117339249762752,0.900781736901498,0.253,0.162,1
"ALOX12B",0.012447890668406,-3.88080188932064,0,0.037,1
"GPX4",0.0143142763447874,0.279527712930974,0.825,0.808,1
"ABCC1",0.0195041236384987,-1.11917438230808,0.072,0.148,1
"PTGES3",0.0244794706976775,0.574620723320444,0.693,0.657,1
"CBR3",0.0283897448901172,1.13811049865853,0.114,0.055,1
"GGT6",0.0337618134739133,1.00364461468075,0.157,0.089,1
"CYP2E1",0.0342900298689794,-1.09220985215429,0.012,0.052,1
"MGST2",0.0383422989925274,0.717661937877788,0.428,0.325,1
"ALOX15",0.039297837910869,-1.33948364376663,0.301,0.373,1
"MGST3",0.0485577544117088,0.304472832771619,0.669,0.609,1
"PLA2G10",0.0602898411003632,0.377916449558963,0.12,0.066,1
"CYP2C18",0.0661514514394967,3.4739108500209,0.03,0.007,1
"LCAT",0.0709681669519213,2.98409902553699,0.012,0,1
"MAPKAPK2",0.0752759951387825,-0.768653692907146,0.066,0.118,1
"PNPLA2",0.0766276887673616,1.32370036550188,0.139,0.085,1
"GGT7",0.0826043187751304,-0.425372777741861,0.169,0.232,1
"ACSL3",0.0928104006488596,0.540596573539389,0.392,0.299,1
"PTGER4",0.105683357769301,1.97418638062024,0.072,0.037,1
"LPCAT2",0.121572098080579,1.7281006472572,0.054,0.026,1
"CYP2U1",0.124730707963082,2.9094814685485,0.018,0.004,1
"LIPE",0.128052828582511,0.914492275392858,0.054,0.026,1
"AKR1B1",0.139497081302785,0.527411614052534,0.289,0.225,1
"ACOT2",0.159703515050673,0.340984382767311,0.114,0.074,1
"AGPAT2",0.163680695715897,0.367416764425584,0.271,0.21,1
"CYP2D6",0.175106411121149,-1.64337893724671,0,0.011,1
"ACSL5",0.179124014335811,-0.405680466842579,0.03,0.059,1
"CYP4F11",0.196448911748771,-1.77531603812152,0.024,0.048,1
"TBXAS1",0.246686675784263,0.170420272069437,0.03,0.055,1
"PLA2G16",0.268895071190527,0.1293154073058,0.102,0.07,1
"EPHX2",0.281330897387159,0.683018767891115,0.09,0.063,1
"LTB4R2",0.287311070548779,2.72497103188997,0.024,0.011,1
"CYSLTR1",0.290574761514185,1.51017770075949,0.024,0.011,1
"SOAT1",0.296165481278405,-0.718473488293542,0.03,0.052,1
"CYP1B1",0.30726582871213,2.46047263294945,0.018,0.007,1
"PLA2G12A",0.342094104261012,-0.385750033773898,0.277,0.314,1
"ACOT8",0.347944796050427,0.529496762713139,0.078,0.055,1
"GPX1",0.374745671273154,-0.110915965665664,0.434,0.565,1
"LTB4R",0.41373825942364,0.671561000186718,0.066,0.048,1
"FAM213B",0.439860884636774,-0.659597282594574,0.042,0.059,1
"LPCAT1",0.445978677776668,-1.17931862382802,0.018,0.03,1
"GPX7",0.478520526307908,1.11615326694129,0.066,0.052,1
"GPX2",0.57943511777517,0.139000036850434,0.193,0.173,1
"PAFAH2",0.579847750167282,0.266458387578529,0.06,0.048,1
"CYP4F3",0.613744315911498,0.769972284938472,0.06,0.074,1
"FADS2",0.624374039922037,-1.24518359768576,0.012,0.007,1
"PTGES2",0.70026312426347,0.519686546618073,0.259,0.24,1
"ACAD9",0.726092804255013,-0.999853256315388,0.072,0.081,1
"FADS1",0.735589997478109,-1.01576010512893,0.024,0.03,1
"ACSL1",0.75907339162147,1.0273481985174,0.066,0.059,1
"PTGES",0.790577212375517,0.751487427542632,0.018,0.015,1
"PLA2G6",0.826525580221285,-1.02621219444853,0.03,0.026,1
"LPCAT3",0.835686914119515,-0.27715916243045,0.072,0.066,1
"PTGS2",0.871911081019677,-1.15910447318079,0.042,0.044,1
"ACOT7",0.887443593732354,0.438315899536057,0.066,0.07,1
"ACOT4",0.907655726649481,-0.330459819287541,0.024,0.022,1
"AGPAT4",0.917322848545493,-0.428885009959736,0.042,0.044,1
"SLC27A2",0.930288382236436,-0.321706767859699,0.247,0.236,1
"MBOAT7",0.932242596092485,-0.375088382675563,0.09,0.092,1
"LTC4S",0.944543081784915,-0.66550075911848,0.084,0.081,1
