"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cluster"
"EPHX2...409",0.723573540699006,0.937099076074443,0.126,0.138,1,"Early Secretory"
"ALOX15...410",0,-1.51727582080648,0.682,0.888,0,"Ciliated"
"ELOVL5...411",3.45704532310899e-175,-1.25178037858265,0.205,0.463,8.22016236928855e-171,"Ciliated"
"PTGES3...412",3.83665348990332e-77,-0.386612753426606,0.703,0.85,9.12279466829212e-73,"Ciliated"
"SOAT1...413",6.08504307956627e-77,-0.743157098956799,0.169,0.335,1.44690154345927e-72,"Ciliated"
"GPX1...414",1.29774353010325e-70,-0.200722827205404,0.461,0.739,3.0857745658795e-66,"Ciliated"
"AGPAT4...415",3.01493454058019e-67,-1.68418508028873,0.025,0.111,7.16891135059157e-63,"Ciliated"
"PTGFR...416",2.20018027736158e-52,3.38290115564682,0.102,0.028,5.23158866351037e-48,"Ciliated"
"ACSL3...417",2.63091149391129e-52,-0.438563075051304,0.331,0.487,6.25578135022226e-48,"Ciliated"
"AGPAT5...418",4.393238581991e-40,-0.319172026366614,0.134,0.243,1.04462427002582e-35,"Ciliated"
"ABCC1...419",2.14883522517315e-34,-0.471236029177962,0.04,0.102,5.10950039841672e-30,"Ciliated"
"PTGER2...420",2.15468151229854e-32,-0.870700195914299,0.077,0.153,5.12340169994348e-28,"Ciliated"
"PLA2G12A...421",2.10973129314802e-30,-0.16010394432739,0.179,0.284,5.01651906884736e-26,"Ciliated"
"MAPKAPK2...422",1.01654464971555e-29,-0.496153499016935,0.105,0.187,2.41713986809363e-25,"Ciliated"
"MBOAT7...423",5.06205566695924e-29,-0.419542875980197,0.121,0.207,1.20365559648957e-24,"Ciliated"
"ACSL5...424",7.08538176939276e-29,-0.433799744206968,0.09,0.165,1.68476207712621e-24,"Ciliated"
"ACSL1...425",9.70209941564399e-27,-1.33413312481396,0.027,0.073,2.30696519905183e-22,"Ciliated"
"PLA2G4A...426",8.95049695021559e-26,-0.788727192342212,0.033,0.081,2.12824916482226e-21,"Ciliated"
"GPX4...427",1.79302016497213e-23,-0.186910745075564,0.846,0.92,4.26344334827073e-19,"Ciliated"
"PLA2G16...428",1.98593596484035e-22,-0.168277341772236,0.52,0.639,4.72215853719738e-18,"Ciliated"
"AKR1C3...429",5.41219808281547e-22,1.11394463700034,0.369,0.32,1.28691246013186e-17,"Ciliated"
"HPGD...430",2.46184695677806e-21,1.52963740538786,0.17,0.111,5.85377969382688e-17,"Ciliated"
"PTGS2...431",7.47699916891143e-21,-2.02935996366543,0.014,0.045,1.77788086238376e-16,"Ciliated"
"CYP2U1...432",6.01888295338269e-19,-0.503448931640515,0.05,0.096,1.43116998865534e-14,"Ciliated"
"PLA2G10...433",1.1744355075746e-18,0.90805038569136,0.346,0.303,2.79257274991088e-14,"Ciliated"
"PAFAH2...434",1.77330501737166e-18,-0.645062699018034,0.04,0.081,4.21656467030633e-14,"Ciliated"
"ACAD9...435",7.28968238141271e-16,-0.260309103438139,0.082,0.133,1.73334067665231e-11,"Ciliated"
"PLB1...436",4.23231905178473e-15,-0.515395175001379,0.014,0.039,1.00636082413337e-10,"Ciliated"
"LPCAT3...437",2.59302785580998e-14,-0.294996556597402,0.066,0.109,6.16570163554497e-10,"Ciliated"
"ACOT7...438",4.78723605524084e-10,-0.288942329531991,0.043,0.072,1.13830898921517e-05,"Ciliated"
"GPX2...439",1.21910059030657e-09,0.165970896224421,0.194,0.251,2.89877738363096e-05,"Ciliated"
"CYP2J2...440",5.98621669998929e-09,1.11883293237569,0.151,0.118,0.000142340260692345,"Ciliated"
"ALOX5AP...441",7.95713982494676e-09,-2.13715698844246,0.004,0.014,0.000189204870757584,"Ciliated"
"MGST2...442",2.1192611840328e-08,0.725016119190638,0.439,0.444,0.00050391792433932,"Ciliated"
"CYP4F11...443",2.16256884021897e-08,-0.201673513388842,0.071,0.103,0.000514215618827266,"Ciliated"
"ACOT4...444",2.65506543934532e-08,-0.109625034563545,0.023,0.043,0.00063132146016753,"Ciliated"
"LIPE...445",1.0579991749951e-07,0.162293547225383,0.021,0.039,0.00251571043830336,"Ciliated"
"EPHX2...446",1.80639697078312e-07,0.222917075380096,0.211,0.268,0.00429525071712811,"Ciliated"
"MGST3...447",2.01762945832802e-07,0.313872736998754,0.644,0.707,0.00479751932601236,"Ciliated"
"CYP2B6...448",1.19972330005678e-05,0.721134137054554,0.131,0.106,0.2852702062875,"Ciliated"
"PTGER1...449",6.66398752622946e-05,-0.534848027436874,0.012,0.023,1,"Ciliated"
"FADS1...450",0.000288524648072285,-0.103867746050581,0.034,0.049,1,"Ciliated"
"LPCAT2...451",0.000303415884567862,0.414732099723034,0.027,0.04,1,"Ciliated"
"PLA2G6...452",0.000383453571576802,0.4265489487705,0.039,0.054,1,"Ciliated"
"PTGES...453",0.000429031624959916,1.27253626373421,0.033,0.022,1,"Ciliated"
"ACAT1...454",0.000436555768365001,0.204845424202339,0.304,0.36,1,"Ciliated"
"LIPA...455",0.000488427892203649,0.290572945632889,0.153,0.186,1,"Ciliated"
"ACOT2...456",0.000770089506548435,1.15610260078028,0.067,0.052,1,"Ciliated"
"LTB4R...457",0.00084660286075055,0.923135924406032,0.062,0.081,1,"Ciliated"
"GGT7...458",0.00507007548471611,0.490176402812926,0.172,0.203,1,"Ciliated"
"CYP2C8",0.00527741473690538,-0.627274013259976,0.005,0.01,1,"Ciliated"
"PLA2G1B...460",0.0150298686964481,0.291611014462402,0.008,0.013,1,"Ciliated"
"LTC4S...461",0.0246000232448693,0.72459494214186,0.119,0.109,1,"Ciliated"
"ABCC4...462",0.0313150907424841,1.2605949372764,0.048,0.04,1,"Ciliated"
"AKR1B1...463",0.0339190546977939,0.272453880823956,0.157,0.179,1,"Ciliated"
"PNPLA2...464",0.0512569125646059,0.335126401072827,0.145,0.164,1,"Ciliated"
"LTB4R2...465",0.05822076904486,0.263333397824462,0.071,0.083,1,"Ciliated"
"PTGER4...466",0.0693075395469981,0.745273004250244,0.056,0.048,1,"Ciliated"
"CYP2C18...467",0.103900536850714,0.549389439065632,0.011,0.014,1,"Ciliated"
"CBR3...468",0.128806922326744,0.740794614257269,0.14,0.135,1,"Ciliated"
"PTGES2...469",0.134746231512263,0.830268908573918,0.18,0.178,1,"Ciliated"
"LCAT...470",0.142459311560652,1.16708661995683,0.007,0.01,1,"Ciliated"
"CBR1...471",0.148660041513052,0.153824828719035,0.487,0.565,1,"Ciliated"
"CYP4F3...472",0.344073856790523,1.22955134484018,0.038,0.034,1,"Ciliated"
"GPX7...473",0.394983585227862,0.780753922144103,0.067,0.073,1,"Ciliated"
"ACOT11...474",0.591851117267853,0.652779239385892,0.125,0.132,1,"Ciliated"
"AGPAT2...475",0.598807639819093,0.436865116512646,0.299,0.318,1,"Ciliated"
"LPCAT1...476",0.644956862548324,0.557227128439578,0.019,0.02,1,"Ciliated"
"ACOT13...477",0.653205913802859,0.455027989485936,0.332,0.359,1,"Ciliated"
"PTGR1...478",0.797410433891094,0.325395208933193,0.386,0.422,1,"Ciliated"
"GPX3...479",0.931448291229699,0.429973733999181,0.133,0.135,1,"Ciliated"
"AKR1C3...480",1.53887150159396e-35,1.676447620604,0.691,0.452,3.65912865649011e-31,"Early Ciliated"
"ELOVL5...481",9.53420732998579e-22,-1.10191653533344,0.357,0.606,2.26704381892402e-17,"Early Ciliated"
"PTGFR...482",1.38869689584896e-20,2.99366549111512,0.227,0.034,3.30204347894965e-16,"Early Ciliated"
"ALOX15...483",1.78231906404221e-19,-1.58451331866252,0.799,0.89,4.23799827047956e-15,"Early Ciliated"
"CYP2J2...484",7.78931701416493e-15,1.76736661184982,0.394,0.213,1.85214379962814e-10,"Early Ciliated"
"HPGD...485",2.74535413525585e-14,1.00402221192623,0.497,0.315,6.52790306281136e-10,"Early Ciliated"
"MAPKAPK2...486",2.20884289201568e-12,-0.898337203073635,0.157,0.331,5.25218662863487e-08,"Early Ciliated"
"AGPAT2...487",3.67508634490452e-12,0.588347396963878,0.713,0.584,8.73862031091397e-08,"Early Ciliated"
"LPCAT1...488",1.20685829216109e-10,-1.55909110586853,0.032,0.133,2.86966764710064e-06,"Early Ciliated"
"MGST2...489",4.48516810589149e-10,0.547586472025667,0.794,0.769,1.06648327221888e-05,"Early Ciliated"
"ABCC1...490",4.85516365954685e-10,-1.04880724612725,0.07,0.191,1.15446081496705e-05,"Early Ciliated"
"CYSLTR1...491",2.59753217394813e-09,-1.8480301332366,0.028,0.112,6.17641200321386e-05,"Early Ciliated"
"MGST3...492",1.440728835637e-08,0.333621209069475,0.777,0.719,0.000342576502537767,"Early Ciliated"
"ACSL3...493",1.59855161608722e-08,-0.354292668356981,0.708,0.809,0.00038010360327322,"Early Ciliated"
"SOAT1...494",9.64667341218723e-08,-0.607320907505957,0.227,0.369,0.00229378600394988,"Early Ciliated"
"AGPAT4...495",1.04749565833554e-07,-2.0653292686413,0.025,0.096,0.00249073517639024,"Early Ciliated"
"PTGS2...496",2.76662258416495e-06,-1.85855639024574,0.025,0.084,0.0657847518062742,"Early Ciliated"
"PAFAH2...497",1.3855847241354e-05,-0.799112824407006,0.131,0.227,0.329464335704916,"Early Ciliated"
"GPX3...498",1.65896699311921e-05,1.47502474486009,0.13,0.054,0.394469171623886,"Early Ciliated"
"GPX2...499",5.90731880722893e-05,-0.4465969493043,0.297,0.41,1,"Early Ciliated"
"GPX1...500",6.97321955340891e-05,-0.301011430539265,0.707,0.88,1,"Early Ciliated"
"ABCC4...501",0.000151175733411511,1.12896171317776,0.15,0.078,1,"Early Ciliated"
"LTC4S...502",0.000295661439377552,0.794990764217155,0.118,0.056,1,"Early Ciliated"
"MBOAT7...503",0.000453965299417358,-0.373690549332906,0.294,0.394,1,"Early Ciliated"
"PLA2G10...504",0.000909758168737956,0.912367014791041,0.292,0.219,1,"Early Ciliated"
"CBR1...505",0.00147957000942475,-0.288564198322771,0.583,0.665,1,"Early Ciliated"
"ACAD9...506",0.00206820130440802,-0.337849548387565,0.296,0.38,1,"Early Ciliated"
"CYP1B1...507",0.00436804783462911,-1.49934810978669,0.001,0.016,1,"Early Ciliated"
"PLA2G4A...508",0.00599804527217159,-0.731012570117868,0.055,0.096,1,"Early Ciliated"
"PTGR1...509",0.00611126884302714,0.492817208534097,0.468,0.42,1,"Early Ciliated"
"ALOX5AP...510",0.0071664308801037,-1.97861518585105,0.006,0.024,1,"Early Ciliated"
"LIPG...511",0.00858661837014314,-2.53005543726902,0,0.01,1,"Early Ciliated"
"LIPE...512",0.0105452967325769,-0.56925417050612,0.061,0.1,1,"Early Ciliated"
"GGT7...513",0.0114113033530442,0.642471065205328,0.296,0.241,1,"Early Ciliated"
"LIPA...514",0.019413368106026,0.654775217043722,0.329,0.285,1,"Early Ciliated"
"ACSL5...515",0.0214560817609929,0.197849603080656,0.166,0.223,1,"Early Ciliated"
"ACSL1...516",0.0247135789194639,-0.738817393069236,0.082,0.122,1,"Early Ciliated"
"OXGR1...517",0.0307633878062864,1.73147979618206,0.025,0.008,1,"Early Ciliated"
"PTGES...518",0.0370461981387623,0.82536847697814,0.114,0.078,1,"Early Ciliated"
"GGT1...519",0.0593622619767176,1.94248195073342,0.012,0.002,1,"Early Ciliated"
"PTGER4...520",0.0616011228904436,-0.213254034764128,0.115,0.153,1,"Early Ciliated"
"PTGER1...521",0.0622975803011293,-1.4206863140322,0.012,0.026,1,"Early Ciliated"
"PLB1...522",0.0683401993843784,-0.435318337225237,0.015,0.03,1,"Early Ciliated"
"PTGES2...523",0.0772125920617972,0.466058695434311,0.395,0.359,1,"Early Ciliated"
"ACSL4...524",0.10649199495968,-0.157230747562243,0.252,0.307,1,"Early Ciliated"
"CBR3...525",0.129587646632077,0.395551427872519,0.121,0.094,1,"Early Ciliated"
"AKR1B1...526",0.133157240670978,0.547282601114887,0.2,0.169,1,"Early Ciliated"
"FADS1...527",0.142558708426734,-0.196640684736342,0.067,0.09,1,"Early Ciliated"
"TBXAS1...528",0.152078655290526,-1.01107243720287,0.007,0.016,1,"Early Ciliated"
"PLA2G1B...529",0.15372275383067,-0.86363362061519,0.007,0.016,1,"Early Ciliated"
"AGPAT5...530",0.157110591756432,-0.14152602665847,0.278,0.319,1,"Early Ciliated"
"LTB4R2...531",0.165316772556606,0.327970384891118,0.121,0.094,1,"Early Ciliated"
"CYP2B6...532",0.225897069085147,0.355054295345853,0.283,0.263,1,"Early Ciliated"
"PLA2G4F...533",0.227495720156895,0.696642775058327,0.01,0.004,1,"Early Ciliated"
"ACOT7...534",0.27905233439025,0.380497803539183,0.227,0.203,1,"Early Ciliated"
"ACOT8...535",0.284892972826637,0.6186917639308,0.219,0.199,1,"Early Ciliated"
"GGT6...536",0.326019914004761,-0.231135436767466,0.238,0.267,1,"Early Ciliated"
"PNPLA2...537",0.332741844278445,0.155422420689632,0.34,0.382,1,"Early Ciliated"
"CYP4F3...538",0.356176448979045,1.06209517257214,0.15,0.135,1,"Early Ciliated"
"ACOT11...539",0.372214433920142,0.531675930538968,0.146,0.129,1,"Early Ciliated"
"CYP2C18...540",0.385084388282059,-0.846594911639177,0.05,0.038,1,"Early Ciliated"
"PLA2G3...541",0.385124095362292,-1.3893054123296,0.009,0.014,1,"Early Ciliated"
"PLA2G6...542",0.395294195730581,0.761568805290602,0.079,0.066,1,"Early Ciliated"
"CYP2D6",0.458126203336256,0.170554933595236,0.016,0.022,1,"Early Ciliated"
"ACOT4...544",0.632931937223493,0.780481142698237,0.063,0.056,1,"Early Ciliated"
"CYP2U1...545",0.650040345414958,0.222297246228088,0.067,0.06,1,"Early Ciliated"
"GPX7...546",0.661272060152448,0.314289973733699,0.118,0.11,1,"Early Ciliated"
"LPCAT3...547",0.663775516774652,0.151809278510611,0.184,0.201,1,"Early Ciliated"
"LPCAT2...548",0.682142605055601,0.181497464068232,0.06,0.066,1,"Early Ciliated"
"ALOX5...549",0.704773558129983,0.199078731643084,0.026,0.03,1,"Early Ciliated"
"FADS2...550",0.707342221632174,0.207373118147235,0.087,0.094,1,"Early Ciliated"
"PLA2G16...551",0.791772818446232,0.104267378628931,0.509,0.554,1,"Early Ciliated"
"CYP4F11...552",0.827342450330526,0.210163720625928,0.087,0.084,1,"Early Ciliated"
"ALOX15B...553",0.835576115075972,-0.173756225339815,0.015,0.016,1,"Early Ciliated"
"HPGDS",0.862525048395804,-1.42589511128371,0.017,0.016,1,"Early Ciliated"
"PTGER2...555",0.936491700501689,-0.55722632372225,0.05,0.05,1,"Early Ciliated"
"LTB4R...556",0.939744115092172,0.411977639432362,0.114,0.112,1,"Early Ciliated"
"PLA2G12A...557",0.976503960015209,0.13927985311233,0.466,0.496,1,"Early Ciliated"
"ALOX15...558",0,-3.94057559469122,0.357,0.824,0,"Goblet Scretory"
"PTGFR...559",5.02115954685283e-177,2.64216631066846,0.441,0.168,1.19393131705067e-172,"Goblet Scretory"
"ELOVL5...560",6.98018348173996e-154,-1.24354329598931,0.291,0.619,1.65974802828813e-149,"Goblet Scretory"
"AGPAT2...561",3.03446996400171e-100,1.8334940611653,0.408,0.216,7.21536268040326e-96,"Goblet Scretory"
"CYP2J2...562",7.1853840121191e-77,1.7029051096094,0.448,0.304,1.70854061040168e-72,"Goblet Scretory"
"ACSL3...563",1.39817874861758e-76,-0.561688875417122,0.442,0.699,3.32458942846289e-72,"Goblet Scretory"
"PLA2G10...564",5.81014719228293e-65,1.62447701589298,0.442,0.319,1.38153679938103e-60,"Goblet Scretory"
"PTGS2...565",1.81612774719821e-56,-2.537865141204,0.031,0.149,4.31838855728791e-52,"Goblet Scretory"
"ABCC1...566",2.43633921618746e-56,-1.06738546522992,0.031,0.15,5.79312738825055e-52,"Goblet Scretory"
"GPX2...567",6.51923792382985e-55,-1.20860876170803,0.073,0.216,1.55014439352826e-50,"Goblet Scretory"
"PLA2G4A...568",4.63074291953304e-53,-1.2168341822826,0.061,0.195,1.10109805140657e-48,"Goblet Scretory"
"MGST3...569",6.2095274762462e-51,0.983456722025306,0.587,0.554,1.47650144330182e-46,"Goblet Scretory"
"MAPKAPK2...570",1.07370527147205e-50,-0.642159111561105,0.118,0.283,2.55305639450625e-46,"Goblet Scretory"
"SOAT1...571",1.18381033302201e-45,-0.354866121612822,0.088,0.229,2.81486420985975e-41,"Goblet Scretory"
"SLC27A2...572",8.11554202171906e-41,-0.366048390695789,0.38,0.598,1.92971358192436e-36,"Goblet Scretory"
"AKR1C3...573",2.46311975310536e-37,1.42991060044357,0.374,0.285,5.85680614893393e-33,"Goblet Scretory"
"PLA2G12A...574",6.76405976827316e-34,-0.158431332537057,0.148,0.294,1.60835813169999e-29,"Goblet Scretory"
"GPX1...575",2.72817162465957e-33,-0.135180253867552,0.448,0.737,6.48704648911552e-29,"Goblet Scretory"
"MBOAT7...576",2.62324885126895e-23,-0.333554534239042,0.078,0.166,6.2375611185473e-19,"Goblet Scretory"
"CYSLTR1...577",3.39352861856113e-21,-0.736709263444848,0.037,0.099,8.06913234921464e-17,"Goblet Scretory"
"LIPE...578",4.09554457579394e-21,-0.742105397208403,0.027,0.083,9.73838589232283e-17,"Goblet Scretory"
"LPCAT3...579",7.32046686256612e-21,-0.380116536658467,0.068,0.145,1.74066061058097e-16,"Goblet Scretory"
"PAFAH2...580",5.69109684783119e-19,-0.537895784445448,0.051,0.116,1.3532290084773e-14,"Goblet Scretory"
"LPCAT1...581",1.10420894797965e-17,-0.830666257913207,0.023,0.071,2.625588036506e-13,"Goblet Scretory"
"ACAD9...582",1.47246359092546e-12,-0.107373000818575,0.078,0.138,3.50122392650255e-08,"Goblet Scretory"
"LIPG...583",2.75720029679383e-11,-5.88630766233047,0,0.016,6.55607086571636e-07,"Goblet Scretory"
"AGPAT5...584",2.44085726848608e-10,-0.478816387098646,0.021,0.051,5.8038704130062e-06,"Goblet Scretory"
"ALOX15B...585",1.1707583744578e-09,-1.18821948909286,0.008,0.029,2.78382926278577e-05,"Goblet Scretory"
"LTC4S...586",5.43793620322324e-09,1.73935012595365,0.092,0.058,0.000129303247040242,"Goblet Scretory"
"ACOT7...587",1.0185466374464e-08,-0.273504735289011,0.028,0.058,0.000242190019452005,"Goblet Scretory"
"FADS2...588",7.11406654303924e-07,-1.34492176153217,0.006,0.021,0.0169158274260387,"Goblet Scretory"
"CYP2C18...589",1.02934052136474e-06,0.428279246821345,0.048,0.08,0.0244756589170107,"Goblet Scretory"
"ACSL1...590",1.22432906713398e-06,-0.184122077526657,0.035,0.062,0.0291120965583118,"Goblet Scretory"
"GPX3...591",1.37452834631795e-06,1.93083055506589,0.054,0.031,0.0326835350187483,"Goblet Scretory"
"GPX6...592",1.65979220793787e-06,-0.602781348083452,0.011,0.028,0.0394665391203467,"Goblet Scretory"
"ABCC4...593",2.64193648613413e-06,1.36893403887518,0.084,0.057,0.0628199657672972,"Goblet Scretory"
"PTGER2...594",3.1864755897291e-06,-1.05731978935137,0.005,0.017,0.0757680165725785,"Goblet Scretory"
"GGT6...595",4.6364974947737e-06,0.15044553277323,0.194,0.263,0.110246637430729,"Goblet Scretory"
"PTGES...596",6.08283016034306e-06,0.238941413012986,0.066,0.101,0.144637535552637,"Goblet Scretory"
"PLB1...597",6.27557409437817e-06,-0.11087527276097,0.013,0.03,0.149220600816124,"Goblet Scretory"
"PLA2G16...598",5.72766735634924e-05,0.881339421617642,0.218,0.198,1,"Goblet Scretory"
"PTGES2...599",7.16913832625107e-05,0.37024122359339,0.191,0.254,1,"Goblet Scretory"
"CYP1B1...600",8.3871645362725e-05,-0.727028263809965,0.007,0.018,1,"Goblet Scretory"
"CBR3...601",8.98763833459295e-05,1.59072245510926,0.045,0.028,1,"Goblet Scretory"
"GPX4...602",0.000122491959709736,-0.147646198867067,0.763,0.836,1,"Goblet Scretory"
"LPCAT2...603",0.00320654286415335,-0.144617305868522,0.017,0.028,1,"Goblet Scretory"
"PTGER4...604",0.00526246957239888,0.246195463758551,0.106,0.134,1,"Goblet Scretory"
"MGST2...605",0.00929415047142078,0.517848685535146,0.486,0.567,1,"Goblet Scretory"
"PTGR1...606",0.015605739000012,0.380491865978436,0.301,0.381,1,"Goblet Scretory"
"ACOT13...607",0.03799937267054,0.435095770880685,0.284,0.354,1,"Goblet Scretory"
"LIPA...608",0.0804129401644842,0.521240289880092,0.169,0.201,1,"Goblet Scretory"
"ACOT11...609",0.0936294087784783,1.14559468508609,0.071,0.063,1,"Goblet Scretory"
"PLA2G3...610",0.0992895366335794,0.250455154795202,0.006,0.01,1,"Goblet Scretory"
"HPGD...611",0.104553474295318,0.269960986314746,0.308,0.368,1,"Goblet Scretory"
"ACOT2...612",0.1483799032964,1.05003551159797,0.054,0.048,1,"Goblet Scretory"
"GGT7...613",0.151328685078705,0.777590712513219,0.25,0.265,1,"Goblet Scretory"
"LCAT...614",0.153832892333185,0.958545110358425,0.007,0.011,1,"Goblet Scretory"
"CYP2U1...615",0.301517711326033,0.937733589800238,0.02,0.024,1,"Goblet Scretory"
"CYP4F3...616",0.34203273071253,1.09655555505653,0.069,0.065,1,"Goblet Scretory"
"ACAT1...617",0.424224575943915,0.766459270756199,0.13,0.147,1,"Goblet Scretory"
"CYP4F11...618",0.452836153186569,0.48675372849806,0.032,0.035,1,"Goblet Scretory"
"AKR1B1...619",0.684177408354648,0.589170590984965,0.047,0.046,1,"Goblet Scretory"
"EPHX2...620",0.684595065480598,0.572301164736265,0.135,0.148,1,"Goblet Scretory"
"PLA2G6...621",0.693514205806767,1.2888832203744,0.025,0.027,1,"Goblet Scretory"
"LTB4R...622",0.710165086423594,0.964202449714947,0.038,0.037,1,"Goblet Scretory"
"FAM213B...623",0.763635738052066,0.796528559872119,0.092,0.094,1,"Goblet Scretory"
